,id,label
0,0|0|tr|A0A0E8TEY5|A0A0E8TEY5_STREE,0
1,0|0|tr|A0A0E8TCM5|A0A0E8TCM5_STREE,0
2,0|0|tr|A0A0E8T3X2|A0A0E8T3X2_STREE,0
3,0|0|tr|A0A0E8TP73|A0A0E8TP73_STREE,0
4,0|0|tr|A0A0E8TKN6|A0A0E8TKN6_STREE,0
5,0|0|tr|A0A0E8TPM9|A0A0E8TPM9_STREE,0
6,0|0|tr|A0A0E8T9M0|A0A0E8T9M0_STREE,0
7,0|0|tr|A0A0E8TP37|A0A0E8TP37_STREE,0
8,0|0|tr|A0A0E8TIH1|A0A0E8TIH1_STREE,0
9,0|0|tr|A0A0E8TH68|A0A0E8TH68_STREE,0
10,0|0|tr|A0A0E8TEY0|A0A0E8TEY0_STREE,0
11,0|0|tr|A0A0E8T8S2|A0A0E8T8S2_STREE,0
12,0|0|tr|A0A0E8TBV1|A0A0E8TBV1_STREE,0
13,0|0|tr|A0A0E8T8X0|A0A0E8T8X0_STREE,0
14,0|0|tr|A0A0E8TP57|A0A0E8TP57_STREE,0
15,0|0|tr|A0A0E8TPK2|A0A0E8TPK2_STREE,0
16,0|0|tr|A0A0E8TR20|A0A0E8TR20_STREE,0
17,0|0|tr|A0A0E8TJY5|A0A0E8TJY5_STREE,0
18,0|0|tr|A0A0E8T8L9|A0A0E8T8L9_STREE,0
19,0|0|tr|A0A0E8TLI7|A0A0E8TLI7_STREE,0
20,0|0|tr|I6BT99|I6BT99_SHIFL,0
21,0|0|tr|I6BZK7|I6BZK7_SHIFL,0
22,0|0|tr|I6BDZ5|I6BDZ5_SHIFL,0
23,0|0|tr|I6BEV3|I6BEV3_SHIFL,0
24,0|0|tr|I6BEB3|I6BEB3_SHIFL,0
25,0|0|tr|Q8DYA1|Q8DYA1_STRA5,0
26,0|0|tr|Q8E1I8|Q8E1I8_STRA5,0
27,0|0|tr|D7H5Q5|D7H5Q5_BRUAO,0
28,0|0|tr|D7H5R9|D7H5R9_BRUAO,0
29,0|0|tr|D7H6T9|D7H6T9_BRUAO,0
30,0|0|tr|D7H0P7|D7H0P7_BRUAO,0
31,0|0|tr|D7H0D0|D7H0D0_BRUAO,0
32,0|0|tr|D7H7G3|D7H7G3_BRUAO,0
33,0|0|tr|D7H5Z8|D7H5Z8_BRUAO,0
34,0|0|tr|D7GZ26|D7GZ26_BRUAO,0
35,0|0|tr|A1KUR4|A1KUR4_NEIMF,0
36,0|0|tr|A1KWN0|A1KWN0_NEIMF,0
37,0|0|tr|E8XFZ8|E8XFZ8_SALT4,0
